name,year,selling_price,km_driven,owner,mileage(km/ltr/kg),engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,price_category
Renault Duster 110PS Diesel RxL,0.004157875728012938,500000,0.028807569384898507,2.0,0.45261904761904764,0.2808724832214765,0.4717484290921939,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Zen LX,-2.325365664029225,92000,0.04236427198812433,2.0,0.4119047619047619,0.12382550335570472,-0.883687594365016,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Swift Dzire VDi,-1.2900218685815639,280000,0.0593101502421566,2.0,0.4595238095238095,0.2093959731543624,-0.4948215319077358,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Wagon R LXI Minor,-1.2900218685815639,180000,0.03812780242461626,2.0,0.44999999999999996,0.14664429530201342,-0.6878557643505584,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Mahindra KUV 100 mFALCON G80 K8 5str,0.5218297734518437,400000,0.01694545460707592,0.0,0.4321428571428571,0.19261744966442954,-0.2682161286052922,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Ertiga SHVS VDI,0.5218297734518437,778000,0.02965486329760012,2.0,0.5838095238095238,0.2093959731543624,-0.08637228644901021,0.41666666666666663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Hyundai i20 1.4 CRDi Asta,-0.5135140219958177,500000,0.022452865039636408,2.0,0.5476190476190476,0.25906040268456376,-0.0444083228744836,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Alto LX,-3.101873510614971,150000,0.033891332861108195,2.0,0.469047619047619,0.057718120805369116,-1.266958461679026,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai i20 2015-2017 Asta 1.4 CRDi,0.5218297734518437,680000,0.04236427198812433,0.0,0.5366666666666666,0.25906040268456376,-0.07993781203424936,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Mahindra Verito 1.5 D4 BSIII,-0.772349970857733,174000,0.04236427198812433,2.0,0.5,0.2808724832214765,-0.7689860939279767,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Honda WR-V i-DTEC VX,0.780665722313759,950000,0.021181924170583986,0.0,0.6071428571428571,0.2932885906040268,0.19618506828613552,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Swift Dzire ZDI,0.26299382458992826,525000,0.01694545460707592,0.0,0.633095238095238,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti SX4 ZDI,-0.5135140219958177,600000,0.030502157210301736,0.0,0.5119047619047619,0.2093959731543624,-0.07797949373410497,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Tata Tigor 2017-2020 XZ,1.0395016711756744,500000,0.014827219825321886,0.0,0.48333333333333334,0.1929530201342282,-0.2175796125586967,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Baleno Delta 1.2,0.5218297734518437,575000,0.019063689388829953,0.0,0.5095238095238095,0.19228187919463088,-0.2374425553173062,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Alto 800 LXI,0.780665722313759,275000,0.011861691130866239,0.0,0.588095238095238,0.057718120805369116,-1.2389824859626748,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Chevrolet Enjoy TCDi LTZ 7 Seater,-0.2546780731339024,300000,0.02965486329760012,0.0,0.4333333333333333,0.2093959731543624,-0.49761912947937115,0.41666666666666663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Wagon R LXI Minor,-1.2900218685815639,220000,0.05083721111514047,0.0,0.44999999999999996,0.14664429530201342,-0.6878557643505584,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Omni E MPI STD BS IV,1.0395016711756744,254999,0.010590750261813818,0.0,0.4,0.057718120805369116,-1.6054677678468736,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Vitara Brezza LDi Option,0.780665722313759,670000,0.02965486329760012,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Omni 8 Seater BSIV,-0.5135140219958177,150000,0.014827219825321886,2.0,0.3333333333333333,0.057718120805369116,-1.583086987273793,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai i20 1.2 Asta Dual Tone,1.0395016711756744,730000,0.0010112452848093758,0.0,0.4428571428571429,0.19228187919463088,-0.27297204447707196,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Vitara Brezza LDi,0.780665722313759,650000,0.006862657045926719,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Alto 800 CNG LXI Optional,1.2983376200375896,330000,0.004236045916551717,2.0,0.7961904761904761,0.057718120805369116,-1.4348143159771323,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Alto K10 VXI Airbag,1.2983376200375896,366000,0.006354280698305751,0.0,0.5702380952380952,0.12550335570469798,-0.6850581667789235,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai Verna VTVT 1.6 SX Option,1.2983376200375896,1149000,0.0021178111347976833,0.0,0.40476190476190477,0.324496644295302,0.831239717047305,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Datsun GO D,0.5218297734518437,150000,0.01779274851977753,0.0,0.4911904761904761,0.19261744966442954,-0.6878557643505584,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Tata Safari DICOR 2.2 LX 4x2,-0.772349970857733,425000,0.025418393734092055,2.0,0.33166666666666667,0.5218120805369127,1.2992777907818587,0.41666666666666663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti 800 Std,-0.5135140219958177,150000,0.032196745035704966,0.0,0.38333333333333336,0.057718120805369116,-1.527135035841091,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Jeep Compass 1.4 Limited Plus BSIV,1.2983376200375896,2100000,0.0021178111347976833,0.0,0.38095238095238093,0.24966442953020132,1.9354514785716825,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
Honda City i VTEC VX,1.0395016711756744,925000,0.012242973391581966,0.0,0.4238095238095238,0.2929530201342282,0.7193358141819007,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2
Honda City V MT,-0.2546780731339024,425000,0.03656030868611827,0.0,0.4,0.2929530201342282,0.6913598384655497,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Maruti Swift Dzire VXi AT,1.0395016711756744,675000,0.009870550436017447,0.0,0.44047619047619047,0.19228187919463088,-0.23632351628865197,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Maruti Vitara Brezza VDi,1.0395016711756744,819999,0.01381046713007995,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Maruti Alto K10 VXI,1.0395016711756744,390000,0.004363140003456959,0.0,0.5702380952380952,0.12550335570469798,-0.6864569655647409,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Toyota Fortuner 4x4 MT,0.004157875728012938,1500000,0.03262039199205577,0.0,0.2988095238095238,0.7912751677852348,2.151705770859076,0.41666666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,-0.2546780731339024,700000,0.041940625031773524,0.0,0.3092857142857143,0.6275167785234899,0.2353514342890272,0.41666666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Mercedes-Benz B Class B180,0.004157875728012938,1450000,0.011776961739596078,2.0,0.3523809523809524,0.5097315436241611,0.8144541316174946,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
Honda Amaze S Diesel,0.26299382458992826,425000,0.021097194779313825,0.0,0.588095238095238,0.2932885906040268,0.19702434755762607,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Mitsubishi Pajero Sport 4X4,-0.2546780731339024,1090000,0.06397026676201548,0.0,0.3214285714285714,0.6218120805369127,2.349216159416515,0.41666666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Honda City i DTEC S,0.26299382458992826,600000,0.023173064865432778,0.0,0.6190476190476191,0.2932885906040268,0.19618506828613552,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Maruti Ciaz Zeta,1.0395016711756744,850000,0.02711298155949528,0.0,0.4916666666666666,0.2812080536912751,0.32627335536716817,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2
Honda Jazz VX Diesel,0.26299382458992826,525000,0.026689334603144474,0.0,0.65,0.2932885906040268,0.19618506828613552,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Toyota Innova Crysta 2.8 ZX AT BSIV,0.5218297734518437,1650000,0.05409929267904168,2.0,0.2704761904761904,0.7151006711409396,2.2356336980081295,0.41666666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
Toyota Innova 2.5 G (Diesel) 7 Seater,0.5218297734518437,950000,0.041940625031773524,0.0,0.3092857142857143,0.6275167785234899,0.2521370197188377,0.41666666666666663,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
Audi A6 2.0 TDI Technology,-0.2546780731339024,1750000,0.014361208173335999,2.0,0.4209523809523809,0.45100671140939597,2.314805709285403,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
Toyota Corolla Altis 1.8 VL CVT,1.0395016711756744,1590000,0.010590750261813818,0.0,0.33999999999999997,0.39395973154362407,1.2992777907818587,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2
Audi A6 2.0 TDI  Design Edition,-0.2546780731339024,1689999,0.021181924170583986,0.0,0.4411904761904762,0.45100671140939597,2.689963543641671,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
Mercedes-Benz New C-Class 220 CDI AT,-0.2546780731339024,1425000,0.024994746777741248,0.0,0.35333333333333333,0.5097315436241611,2.1936697344336027,0.24999999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
Tata Manza ELAN Quadrajet BS IV,-0.772349970857733,265000,0.05083721111514047,0.0,0.5028571428571429,0.2093959731543624,-0.07797949373410497,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai i10 Magna,-0.772349970857733,190000,0.046600741551632394,4.0,0.4847619047619047,0.19228187919463088,-0.35494165332598043,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai i20 Asta 1.4 CRDi,-0.2546780731339024,425000,0.025418393734092055,0.0,0.5064285714285713,0.25906040268456376,-0.0790985327627588,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Swift Dzire ZDI,0.26299382458992826,630000,0.06227567893661225,2.0,0.633095238095238,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Ford Figo 1.2P Titanium MT,0.780665722313759,600000,0.010590750261813818,4.0,0.43238095238095237,0.19194630872483223,-0.13393144516680713,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Baleno Delta 1.2,1.2983376200375896,650000,0.012708985043567853,0.0,0.5095238095238095,0.19228187919463088,-0.2374425553173062,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,0.5218297734518437,540000,0.01694545460707592,0.0,0.5238095238095237,0.2932885906040268,0.47300734799942973,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Honda City i DTEC VX,0.26299382458992826,630000,0.057191915460402566,0.0,0.5976190476190476,0.2932885906040268,0.19618506828613552,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Wagon R AMT VXI,1.0395016711756744,448000,0.012708985043567853,0.0,0.48833333333333334,0.12550335570469798,-0.6878557643505584,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
Volkswagen Ameo 1.5 TDI Comfortline,0.780665722313759,500000,0.033891332861108195,0.0,0.5157142857142857,0.2932885906040268,0.4765043449639736,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Vitara Brezza VDi,0.5218297734518437,745000,0.02965486329760012,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Vitara Brezza ZDi Plus AMT,1.2983376200375896,1025000,0.004172498873099096,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
Hyundai i10 Magna,-0.772349970857733,235000,0.025418393734092055,2.0,0.4847619047619047,0.19228187919463088,-0.35494165332598043,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Swift VDI Deca,0.5218297734518437,630000,0.02965486329760012,0.0,0.6,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Toyota Fortuner 4x4 MT,0.26299382458992826,1700000,0.03304403894840658,2.0,0.2988095238095238,0.7912751677852348,2.151705770859076,0.41666666666666663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Swift Star VDI,-0.2546780731339024,450000,0.05083721111514047,2.0,0.5452380952380952,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Ertiga ZXI,-0.5135140219958177,450000,0.05083721111514047,2.0,0.3814285714285714,0.2513422818791946,0.05910278727601547,0.41666666666666663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Volkswagen Vento Diesel Highline,-0.2546780731339024,450000,0.0720195589326808,0.0,0.489047619047619,0.3268456375838926,0.3360649468678909,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Toyota Innova 2.5 VX (Diesel) 8 Seater,0.5218297734518437,1200000,0.0593101502421566,0.0,0.3092857142857143,0.6275167785234899,0.2521370197188377,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,0.26299382458992826,610000,0.03812780242461626,0.0,0.5421428571428571,0.2932885906040268,0.19590530852897226,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
BMW X1 sDrive20i xLine,0.5218297734518437,2500000,0.012708985043567853,2.0,0.3740476190476191,0.4610738255033556,2.725213273044273,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2
Maruti Celerio ZXI MT BSIV,0.780665722313759,484999,0.004236045916551717,0.0,0.55,0.12550335570469798,-0.6867367253219042,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Datsun GO A Petrol,0.5218297734518437,275000,0.02075827721423318,0.0,0.45285714285714285,0.19261744966442954,-0.6864569655647409,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Maruti Alto 800 VXI BSIV,0.5218297734518437,315000,0.013556278956269466,0.0,0.588095238095238,0.057718120805369116,-1.2389824859626748,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Maruti Alto 800 LXI BSIV,0.5218297734518437,275000,0.016098160694374305,0.0,0.588095238095238,0.057718120805369116,-1.2389824859626748,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Hyundai i10 Era 1.1,-0.5135140219958177,290000,0.011861691130866239,0.0,0.4716666666666666,0.15503355704697988,-0.6584809898483899,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Maruti Omni 8 Seater BSIV,0.780665722313759,280000,0.013556278956269466,0.0,0.3333333333333333,0.057718120805369116,-1.583086987273793,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Maruti Wagon R LXI LPG BSIV,-1.0311859197196485,225000,0.018640042432479145,0.0,0.6238095238095237,0.12550335570469798,-0.9340443506544478,0.24999999999999997,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
Volkswagen Polo 1.2 MPI Comfortline,0.26299382458992826,455000,0.01779274851977753,0.0,0.39214285714285707,0.19261744966442954,-0.49202393433610087,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Hyundai i10 Magna 1.1L,0.26299382458992826,351000,0.019063689388829953,2.0,0.4716666666666666,0.15503355704697988,-0.6584809898483899,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Volkswagen Vento Petrol Highline,-0.5135140219958177,535000,0.00508333982925333,2.0,0.3580952380952381,0.3268456375838926,0.3360649468678909,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Maruti Zen Estilo LXI BSIII,-1.2900218685815639,175000,0.023511982430513424,0.0,0.4333333333333333,0.12550335570469798,-0.6850581667789235,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Hyundai i20 Asta Optional with Sunroof 1.2,-0.2546780731339024,525000,0.026053864168618265,0.0,0.44047619047619047,0.19228187919463088,-0.24443654924639396,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
Maruti Swift Dzire LDI,0.5218297734518437,600000,0.06354661980566467,0.0,0.633095238095238,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai Xcent 1.2 Kappa SX Option AT,0.5218297734518437,565000,0.030502157210301736,0.0,0.45476190476190476,0.19228187919463088,-0.2682161286052922,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
Maruti Alto LX BSIII,-1.548857817443479,120000,0.028807569384898507,4.0,0.469047619047619,0.057718120805369116,-1.266958461679026,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Hyundai i20 1.4 Asta Option,0.780665722313759,725000,0.046600741551632394,0.0,0.5366666666666666,0.25906040268456376,-0.07993781203424936,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Wagon R VXI,-1.2900218685815639,185000,0.03262039199205577,2.0,0.5188095238095237,0.12550335570469798,-0.6864569655647409,0.24999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
Tata Manza Aura (ABS) Quadrajet,-1.0311859197196485,200000,0.04236427198812433,2.0,0.44761904761904764,0.2093959731543624,-0.0444083228744836,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Swift VXI,1.2983376200375896,615000,0.004236045916551717,0.0,0.505,0.19228187919463088,-0.27381132374856254,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Eeco 7 Seater Standard BSIV,0.5218297734518437,270000,0.04236427198812433,4.0,0.3659523809523809,0.19194630872483223,-0.5199999100524519,0.41666666666666663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Baleno Zeta 1.2,1.0395016711756744,610000,0.014827219825321886,0.0,0.5095238095238095,0.19228187919463088,-0.2374425553173062,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Mahindra Scorpio VLX AT AIRBAG BSIV,0.004157875728012938,625000,0.02965486329760012,2.0,0.2807142857142857,0.5218120805369127,0.7948709486160488,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
Ford Freestyle Titanium Petrol BSIV,1.557173568899505,400000,0.0021178111347976833,2.0,0.45238095238095233,0.19127516778523487,0.08651924347803965,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai Verna VTVT 1.6 SX,0.780665722313759,866000,0.016013431303104144,0.0,0.40476190476190477,0.324496644295302,0.831239717047305,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Volkswagen Passat 1.8 TSI MT,-1.0311859197196485,700000,0.04829532937703562,0.0,0.3404761904761905,0.39395973154362407,1.9139099772700918,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,-1.0311859197196485,300000,0.02033463025788237,0.0,0.3761904761904762,0.18389261744966443,-0.7438077157832605,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Mahindra XUV500 W11 Option AWD,1.2983376200375896,1700000,0.013556278956269466,0.0,0.35952380952380947,0.5218120805369127,1.7740300986883366,0.41666666666666663,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Tata Indigo CS LS (TDI) BS-III,0.5218297734518437,375000,0.04236427198812433,0.0,0.4545238095238095,0.2620805369127517,-0.6316240531606926,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai Verna 1.6 SX,-0.2546780731339024,522000,0.06354661980566467,2.0,0.5314285714285714,0.3214765100671141,0.9716791151433875,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai i20 Magna 1.4 CRDi (Diesel),-0.2546780731339024,451999,0.029231216341249314,0.0,0.5214285714285714,0.25906040268456376,-0.0790985327627588,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Toyota Corolla Altis G,-1.2900218685815639,300000,0.04236427198812433,2.0,0.3459523809523809,0.39395973154362407,1.301236109082003,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Celerio VXI,1.557173568899505,475000,0.0055069867856041375,0.0,0.5149999999999999,0.12550335570469798,-0.6867367253219042,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Vitara Brezza ZDi Plus Dual Tone,0.5218297734518437,780000,0.025418393734092055,0.0,0.5785714285714285,0.2093959731543624,-0.08637228644901021,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
Maruti Swift Dzire VXI,0.780665722313759,595000,0.01694545460707592,0.0,0.49642857142857144,0.19228187919463088,-0.23632351628865197,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Wagon R VXI BS IV,0.780665722313759,440000,0.014827219825321886,0.0,0.48833333333333334,0.12550335570469798,-0.6867367253219042,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Nissan Terrano XL 85 PS,0.004157875728012938,400000,0.02965486329760012,4.0,0.48690476190476184,0.2808724832214765,-0.21785937231586036,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Hyundai Creta 1.6 CRDi SX,0.5218297734518437,1140000,0.021181924170583986,0.0,0.4683333333333333,0.3214765100671141,0.9683219980574256,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
